,sample_id,iteration,seed,final_A,population_size,rewiring_probability,replicator_selection,interactor_selection,neutral_change,selection_pressure,n
51,17,0,283971023087421522921258040853865412677,0.0997123130034522,3476,0.01,False,True,False,0.1,0.1
52,17,1,83469133459712615515863060696579920011,0.0998561565017261,3476,0.01,False,True,False,0.1,0.1
53,17,2,142626010187032705599239045558964771235,0.0998273878020713,3476,0.01,False,True,False,0.1,0.1
54,18,0,19225460912246650459357718304545959353,0.0999728260869565,3680,0.01,False,True,False,0.1,0.1
55,18,1,220047631842300282625093306751556133017,0.1,3680,0.01,False,True,False,0.1,0.1
56,18,2,78428278228667719582603046857279935209,0.1001630434782608,3680,0.01,False,True,False,0.1,0.1
57,19,0,295356619366810720354598731487283845747,0.0998970133882595,3884,0.01,False,True,False,0.1,0.1
58,19,1,261141693072386775417523342063507994975,0.0999227600411946,3884,0.01,False,True,False,0.1,0.1
59,19,2,310046554925769995602114454568013844497,0.0998970133882595,3884,0.01,False,True,False,0.1,0.1
60,20,0,206707419308505980751256065803505063459,0.099804257401517,4087,0.01,False,True,False,0.1,0.1
61,20,1,41929487099291045034611240803939184390,0.0997797895767066,4087,0.01,False,True,False,0.1,0.1
62,20,2,157106930944166022003318333259258627259,0.0997797895767066,4087,0.01,False,True,False,0.1,0.1
63,21,0,282049295302732408006360305648168432431,0.1001165229550221,4291,0.01,False,True,False,0.1,0.1
64,21,1,245575155229106079842541085125304592249,0.1,4291,0.01,False,True,False,0.1,0.1
65,21,2,249171656034726428103063495536001178578,0.1000466091820088,4291,0.01,False,True,False,0.1,0.1
66,22,0,112498696572264048482751059200788097923,0.0998665183537263,4495,0.01,False,True,False,0.1,0.1
67,22,1,111424394184040910857253095402770883380,0.0999110122358175,4495,0.01,False,True,False,0.1,0.1
68,22,2,244144746072911136707746435150350997492,0.0998887652947719,4495,0.01,False,True,False,0.1,0.1
69,23,0,287971520441314740552390077276048153567,0.0998297510108533,4699,0.01,False,True,False,0.1,0.1
70,23,1,218683602616101894904295356642302830224,0.0997233453926367,4699,0.01,False,True,False,0.1,0.1
71,23,2,290550286551704989428539268902696881410,0.09980846988721,4699,0.01,False,True,False,0.1,0.1
72,24,0,47137837179695419160169923995710732178,0.1,4903,0.01,False,True,False,0.1,0.1
73,24,1,65021062733447787872095490609380260408,0.0999592086477666,4903,0.01,False,True,False,0.1,0.1
74,24,2,114025112152058589068497711820916949650,0.1000407913522333,4903,0.01,False,True,False,0.1,0.1
75,25,0,274190874884346014879652453321288476113,0.0999608380654004,5107,0.01,False,True,False,0.1,0.1
76,25,1,85639646028828557225686381449452446216,0.0998825141962013,5107,0.01,False,True,False,0.1,0.1
77,25,2,111249494974622351364010167221812952986,0.0998629332289015,5107,0.01,False,True,False,0.1,0.1
78,26,0,47711758350370706794784511174404715742,0.0999811711542082,5311,0.01,False,True,False,0.1,0.1
79,26,1,73855640345927742330645466512713724138,0.1000188288457917,5311,0.01,False,True,False,0.1,0.1
80,26,2,73611109621608611137769152154708694742,0.0999811711542082,5311,0.01,False,True,False,0.1,0.1
81,27,0,218435922583548764454205303206490047595,0.099818676337262,5515,0.01,False,True,False,0.1,0.1
82,27,1,94667190188442202298179573931897234569,0.099909338168631,5515,0.01,False,True,False,0.1,0.1
83,27,2,243381911145158112340327282039238797672,0.099909338168631,5515,0.01,False,True,False,0.1,0.1
84,28,0,218113179898477841999019384346912636381,0.0998251442559888,5719,0.01,False,True,False,0.1,0.1
85,28,1,250662007914047232676394355123015765029,0.0999125721279944,5719,0.01,False,True,False,0.1,0.1
86,28,2,80708030896281720182450258197419209193,0.0998426298303899,5719,0.01,False,True,False,0.1,0.1
87,29,0,250203837104037975152811443594760358902,0.1000168833361472,5923,0.01,False,True,False,0.1,0.1
88,29,1,333450032919530735276856203732252205213,0.0998142833023805,5923,0.01,False,True,False,0.1,0.1
89,29,2,312487171757238713926132089720973615638,0.0999493499915583,5923,0.01,False,True,False,0.1,0.1
90,30,0,262857729161527100364076023911266305512,0.0999020568070519,6126,0.01,False,True,False,0.1,0.1
91,30,1,90986043699077037379675804759263661069,0.0998204374795951,6126,0.01,False,True,False,0.1,0.1
92,30,2,11595613724821759303384945952950020990,0.0999020568070519,6126,0.01,False,True,False,0.1,0.1
93,31,0,268678487013478234017885388326073232689,0.1,6330,0.01,False,True,False,0.1,0.1
94,31,1,99468302975290205903450305885301914256,0.1,6330,0.01,False,True,False,0.1,0.1
95,31,2,111247921287314893617412731808381583705,0.1000157977883096,6330,0.01,False,True,False,0.1,0.1
96,32,0,79712184148297492137837250397728138199,0.1000306091215182,6534,0.01,False,True,False,0.1,0.1
97,32,1,203798138427726409249073228548037420483,0.0999387817569635,6534,0.01,False,True,False,0.1,0.1
98,32,2,158420698062471291043192239584033032935,0.0998775635139271,6534,0.01,False,True,False,0.1,0.1
99,33,0,210380640653098918774923712371248774666,0.099851588008311,6738,0.01,False,True,False,0.1,0.1
100,33,1,242825727012894505332676097156673847862,0.0998664292074799,6738,0.01,False,True,False,0.1,0.1
101,33,2,96545663416353923726312563735525749284,0.099851588008311,6738,0.01,False,True,False,0.1,0.1
102,34,0,293640371007949046419307742739307614607,0.0999423797176606,6942,0.01,False,True,False,0.1,0.1
103,34,1,139485314457988018535762227350307422129,0.0999711898588303,6942,0.01,False,True,False,0.1,0.1
104,34,2,252640903317419225976596457187146429739,0.0999567847882454,6942,0.01,False,True,False,0.1,0.1
105,35,0,339967231899157232076004949597248606361,0.1000559753708368,7146,0.01,False,True,False,0.1,0.1
106,35,1,128348441514632570060201551384870724194,0.0999020431010355,7146,0.01,False,True,False,0.1,0.1
107,35,2,210434787997869618110773092543201866262,0.0999860061572908,7146,0.01,False,True,False,0.1,0.1
108,36,0,62240909222619607761324499354677255016,0.1,7350,0.01,False,True,False,0.1,0.1
109,36,1,249817079252932901836502622424510059487,0.1000272108843537,7350,0.01,False,True,False,0.1,0.1
110,36,2,156217131601360579842488654307946117968,0.1,7350,0.01,False,True,False,0.1,0.1
111,37,0,303207777457630026725891130620287796509,0.0999470479216309,7554,0.01,False,True,False,0.1,0.1
112,37,1,160523638636944405602836081992796328463,0.1000132380195922,7554,0.01,False,True,False,0.1,0.1
113,37,2,124944876914289684059642239820970734738,0.0998014297061159,7554,0.01,False,True,False,0.1,0.1
114,38,0,216127486998751872782237340508782731072,0.0998839907192575,7758,0.01,False,True,False,0.1,0.1
115,38,1,258393720496034400269428608338128368611,0.09989688063934,7758,0.01,False,True,False,0.1,0.1
116,38,2,214213417588913885679005668995654727923,0.099922660479505,7758,0.01,False,True,False,0.1,0.1
117,39,0,315419352536095449985420682524786195226,0.1000251193167545,7962,0.01,False,True,False,0.1,0.1
118,39,1,162113886767844229087122670651989944682,0.0999748806832454,7962,0.01,False,True,False,0.1,0.1
119,39,2,297539347410636751977640976084293784280,0.0999874403416227,7962,0.01,False,True,False,0.1,0.1
120,40,0,27000161829812692336571774398213962111,0.0999265156154317,8165,0.01,False,True,False,0.1,0.1
121,40,1,42011209191276746203014587084038184216,0.1000612369871402,8165,0.01,False,True,False,0.1,0.1
122,40,2,93795874990095072661530067209409427172,0.0999265156154317,8165,0.01,False,True,False,0.1,0.1
123,41,0,245236631617927359922893866723326288057,0.0998924602700442,8369,0.01,False,True,False,0.1,0.1
124,41,1,38691999049802243466759714479849793026,0.0998805114111602,8369,0.01,False,True,False,0.1,0.1
125,41,2,75075469280336717802692953328768317056,0.0999999999999999,8369,0.01,False,True,False,0.1,0.1
126,42,0,112257597432393556552609305003574379121,0.0999766709436603,8573,0.01,False,True,False,0.1,0.1
127,42,1,165020124576150239649482139145830887873,0.0999416773591508,8573,0.01,False,True,False,0.1,0.1
128,42,2,17030188482824737872991175658991820150,0.1000116645281698,8573,0.01,False,True,False,0.1,0.1
129,43,0,6252642328480873109525718008410286017,0.0998974592685427,8777,0.01,False,True,False,0.1,0.1
130,43,1,15651576041301920223388521682436154300,0.0998860658539364,8777,0.01,False,True,False,0.1,0.1
131,43,2,282832959343662248437007563520187843381,0.0999202460977555,8777,0.01,False,True,False,0.1,0.1
132,44,0,278990008958707202784635779495259311614,0.0999888653824741,8981,0.01,False,True,False,0.1,0.1
