,sample_id,iteration,seed,final_A,population_size,rewiring_probability,replicator_selection,interactor_selection,neutral_change,selection_pressure
153,1,0,201385059143015808913584282528942179753,1.0,213,1.0,True,False,False,0.2
154,1,1,317915164461859106074590173354445473331,1.0,213,1.0,True,False,False,0.2
155,1,2,73872995302895710883349518625625609547,1.0,213,1.0,True,False,False,0.2
156,2,0,227075071172859370393201869409205305291,1.0,417,1.0,True,False,False,0.2
157,2,1,152128738676473426356630107311401430545,1.0,417,1.0,True,False,False,0.2
158,2,2,224942540108402507640230192180682566976,1.0,417,1.0,True,False,False,0.2
159,3,0,260875580994312171072344472928421778420,1.0,621,1.0,True,False,False,0.2
160,3,1,147766633100628197674370167873305925742,0.9998389694041868,621,1.0,True,False,False,0.2
161,3,2,260025483081829048627138699693241533242,1.0,621,1.0,True,False,False,0.2
162,4,0,334309193807240046410390291900365583318,0.9978181818181816,825,1.0,True,False,False,0.2
163,4,1,268636744494713387364631071031902496396,0.9987878787878788,825,1.0,True,False,False,0.2
164,4,2,214728411676074246905906719042033312646,0.9993939393939394,825,1.0,True,False,False,0.2
165,5,0,272892463366864734578412139154480249765,0.9947521865889204,1029,1.0,True,False,False,0.2
166,5,1,27953638002112763560477280200871713579,0.9930029154518942,1029,1.0,True,False,False,0.2
167,5,2,228508041361724933998750914849284229724,0.9948493683187551,1029,1.0,True,False,False,0.2
168,6,0,18387853870290574069798381217839899681,0.9847526358475264,1233,1.0,True,False,False,0.2
169,6,1,285267790473545067157628512244670824637,0.98580697485807,1233,1.0,True,False,False,0.2
170,6,2,86485577845112809640101232830324494454,0.9845904298459044,1233,1.0,True,False,False,0.2
171,7,0,237438257883565900842074908817309306349,0.9683368128044552,1437,1.0,True,False,False,0.2
172,7,1,51171894122780474724017024961511736221,0.9689631176061264,1437,1.0,True,False,False,0.2
173,7,2,326409466291069094567743154746770398477,0.9715379262352134,1437,1.0,True,False,False,0.2
174,8,0,119340635513770537820002628602202601859,0.9442413162705692,1641,1.0,True,False,False,0.2
175,8,1,44244377223163004777925929195623290946,0.9425350396099976,1641,1.0,True,False,False,0.2
176,8,2,67381797594623187801711838957041751689,0.9464351005484484,1641,1.0,True,False,False,0.2
177,9,0,50612240355788433421065538008533499185,0.9195121951219564,1845,1.0,True,False,False,0.2
178,9,1,53875338558351650844449512359008691115,0.9193495934959396,1845,1.0,True,False,False,0.2
179,9,2,300804084756175242422868437431483473754,0.9184823848238532,1845,1.0,True,False,False,0.2
180,10,0,122648312717420292795939114506415054956,0.8829101562500049,2048,1.0,True,False,False,0.2
181,10,1,54451667522539021638188258697818498304,0.8896484375000059,2048,1.0,True,False,False,0.2
182,10,2,192506249612874638277867390736423608713,0.8864257812500045,2048,1.0,True,False,False,0.2
183,11,0,76923002416779951502554678465940586794,0.8551953818827775,2252,1.0,True,False,False,0.2
184,11,1,237031565429152705194491245275921085267,0.8468472468916571,2252,1.0,True,False,False,0.2
185,11,2,222552399287993217927281961102628508248,0.8553730017762029,2252,1.0,True,False,False,0.2
186,12,0,13774711241342394901778753762953958346,0.8117671009772027,2456,1.0,True,False,False,0.2
187,12,1,193694155542210644576924558738485040816,0.8152280130293222,2456,1.0,True,False,False,0.2
188,12,2,217005967409409531526550630165763878939,0.8197882736156384,2456,1.0,True,False,False,0.2
189,13,0,233930519299177124319454602615869825110,0.7864285714285738,2660,1.0,True,False,False,0.2
190,13,1,123569311020652886803916271697854158894,0.778045112781958,2660,1.0,True,False,False,0.2
191,13,2,332169741061164961505064271941170776885,0.7887218045112844,2660,1.0,True,False,False,0.2
192,14,0,237062396292064047242196747605802738323,0.757646648044696,2864,1.0,True,False,False,0.2
193,14,1,20155555630562832883916323575113986380,0.7507332402234673,2864,1.0,True,False,False,0.2
194,14,2,123713187218026830994609007459851664264,0.7534217877095021,2864,1.0,True,False,False,0.2
195,15,0,54221451251016232127742596326424138764,0.7284876140808377,3068,1.0,True,False,False,0.2
196,15,1,80558815220277620302336563058369292864,0.7199804432855318,3068,1.0,True,False,False,0.2
197,15,2,253386624662542307873366261871102679827,0.7234680573663665,3068,1.0,True,False,False,0.2
198,16,0,227487457314782913377331482905142084938,0.6959046454767772,3272,1.0,True,False,False,0.2
199,16,1,39672341417430493281353800300816607006,0.6947432762836214,3272,1.0,True,False,False,0.2
200,16,2,57685174184680154075447569663260243288,0.6920537897310547,3272,1.0,True,False,False,0.2
201,17,0,305695041171405431021527531076644864296,0.6739067894131202,3476,1.0,True,False,False,0.2
202,17,1,42504782020833443621761387808733223818,0.6689585730725015,3476,1.0,True,False,False,0.2
203,17,2,174790288253311506793273335948894703588,0.6639528193325694,3476,1.0,True,False,False,0.2
204,18,0,217639543691725692338733692304385759575,0.642907608695656,3680,1.0,True,False,False,0.2
205,18,1,271593411323848586756899372731013368104,0.6470380434782651,3680,1.0,True,False,False,0.2
206,18,2,338427051629225219312140047432079308239,0.6366032608695679,3680,1.0,True,False,False,0.2
207,19,0,47061544310172992674489351301653560401,0.6223223480947484,3884,1.0,True,False,False,0.2
208,19,1,274917766420134447679796911904559557741,0.6168383110195684,3884,1.0,True,False,False,0.2
209,19,2,74406477692590462004666767652530907934,0.611328527291454,3884,1.0,True,False,False,0.2
210,20,0,83002504908565733423158020718897094675,0.5959383410814766,4087,1.0,True,False,False,0.2
211,20,1,234107096238710378969859932062479970082,0.5985074626865676,4087,1.0,True,False,False,0.2
212,20,2,205719239420938191570836986855548413408,0.6015170051382422,4087,1.0,True,False,False,0.2
213,21,0,169415490791515518437685927911439137157,0.5828944302027487,4291,1.0,True,False,False,0.2
214,21,1,308138935899017369791958869668701495380,0.5816592868795163,4291,1.0,True,False,False,0.2
215,21,2,311971597295165391103412230909608994600,0.5806105802843157,4291,1.0,True,False,False,0.2
216,22,0,297784707941025494641174554991782088735,0.5591768631813134,4495,1.0,True,False,False,0.2
217,22,1,326823578756001872066978923335151856554,0.5628921023359293,4495,1.0,True,False,False,0.2
218,22,2,249822652440449851408418040856267297114,0.563070077864293,4495,1.0,True,False,False,0.2
219,23,0,50243089178502259696489533955107910488,0.5434347733560329,4699,1.0,True,False,False,0.2
220,23,1,284607039495753538637483907509498779758,0.5487976165141515,4699,1.0,True,False,False,0.2
221,23,2,157965911452546345974695934253507780997,0.5387954884017881,4699,1.0,True,False,False,0.2
222,24,0,230602796364403832806533003584804985759,0.5319804201509287,4903,1.0,True,False,False,0.2
223,24,1,115569113648565586187849687644557556989,0.529451356312461,4903,1.0,True,False,False,0.2
224,24,2,138159729135887501146512615985349644954,0.5258209259636956,4903,1.0,True,False,False,0.2
225,25,0,120437568036123811423725155827126078775,0.5103583317015855,5107,1.0,True,False,False,0.2
226,25,1,105258448080237687227460410999373484362,0.5117681613471706,5107,1.0,True,False,False,0.2
227,25,2,140588829246626030476737360465375030237,0.5191697669864908,5107,1.0,True,False,False,0.2
228,26,0,112761592870742511579266748727336452511,0.4979099981171165,5311,1.0,True,False,False,0.2
229,26,1,78775087907229375668494606423586345598,0.4961589154584838,5311,1.0,True,False,False,0.2
230,26,2,86863888446376933734660801465073534220,0.4987196384861612,5311,1.0,True,False,False,0.2
231,27,0,211854435000061965461728588981948743489,0.486310063463281,5515,1.0,True,False,False,0.2
232,27,1,208039891477067066760118282559122286874,0.4912964641885756,5515,1.0,True,False,False,0.2
233,27,2,64498877479553533287790208178700604839,0.4886491387126025,5515,1.0,True,False,False,0.2
234,28,0,215451652278708346878222001199911721466,0.4786151425074323,5719,1.0,True,False,False,0.2
235,28,1,175227418833133170053751977978195118606,0.481377863262808,5719,1.0,True,False,False,0.2
236,28,2,183240188102111859010204998697441215167,0.4777933205105775,5719,1.0,True,False,False,0.2
237,29,0,195729216161672226295108747878323636673,0.4646462941077141,5923,1.0,True,False,False,0.2
238,29,1,204615850811941805064372386482447863927,0.4674826945804485,5923,1.0,True,False,False,0.2
239,29,2,157544007894072891389280442938955507381,0.4644436940739485,5923,1.0,True,False,False,0.2
240,30,0,251079705955513987116854198925667136076,0.4599249102187397,6126,1.0,True,False,False,0.2
241,30,1,303572837259523794962916154647338349845,0.451501795625203,6126,1.0,True,False,False,0.2
242,30,2,85575443002112884239851233898968794946,0.4580803134182175,6126,1.0,True,False,False,0.2
243,31,0,335725362912549272634199722483338866633,0.4470616113744078,6330,1.0,True,False,False,0.2
244,31,1,103655929233824012805909414482006927687,0.4448025276461313,6330,1.0,True,False,False,0.2
245,31,2,211124321738725794819465680868487150214,0.4489257503949433,6330,1.0,True,False,False,0.2
246,32,0,182915546395556807771859758786684878765,0.443572084481175,6534,1.0,True,False,False,0.2
247,32,1,197789044311043374342488514239055842300,0.437848178757269,6534,1.0,True,False,False,0.2
248,32,2,283286175638700114420475288724740516559,0.4413070094888271,6534,1.0,True,False,False,0.2
249,33,0,152382649721156672247864808907889524243,0.4217720391807659,6738,1.0,True,False,False,0.2
250,33,1,185604715456703112390080704383493335445,0.4362422083704372,6738,1.0,True,False,False,0.2
251,33,2,194730949179285737644369659498368674507,0.4235084594835251,6738,1.0,True,False,False,0.2
252,34,0,167326459788044701812004099492697140462,0.4218957072889653,6942,1.0,True,False,False,0.2
253,34,1,57777468445402539447531342770070885531,0.4221838087006626,6942,1.0,True,False,False,0.2
254,34,2,83268592102530606173893630346949607165,0.425007202535291,6942,1.0,True,False,False,0.2
255,35,0,263554308230676062667003461180823615659,0.4181500139938429,7146,1.0,True,False,False,0.2
256,35,1,108430173510876337377896131753388902988,0.412818359921634,7146,1.0,True,False,False,0.2
257,35,2,261399673983915278202911487250375841488,0.4135320458998036,7146,1.0,True,False,False,0.2
258,36,0,38657869618012294434637622922228911288,0.4092244897959182,7350,1.0,True,False,False,0.2
259,36,1,138088894568425551310726289888261616265,0.4066122448979593,7350,1.0,True,False,False,0.2
260,36,2,243427791681529255213450148227120276201,0.4029115646258498,7350,1.0,True,False,False,0.2
261,37,0,177814701627264922301343757169239240029,0.4017209425469933,7554,1.0,True,False,False,0.2
262,37,1,266791930094207792490583836254144414188,0.4051628276409865,7554,1.0,True,False,False,0.2
263,37,2,44908602040112759819114068442779130226,0.4048715912099543,7554,1.0,True,False,False,0.2
264,38,0,138560970661679417316062051159666215805,0.3944573343645263,7758,1.0,True,False,False,0.2
265,38,1,12870946344703788984539922105921252771,0.3991750451147191,7758,1.0,True,False,False,0.2
266,38,2,82731888868703748823078568471033805779,0.3934905903583396,7758,1.0,True,False,False,0.2
267,39,0,62554673640562493688079838519881440854,0.3886963074604369,7962,1.0,True,False,False,0.2
268,39,1,250218877874139860550675008619058053129,0.3908816880180846,7962,1.0,True,False,False,0.2
269,39,2,154897276892231197471712339699795862254,0.3913212760612919,7962,1.0,True,False,False,0.2
270,40,0,286066455399643575441847783295359670983,0.3851928965094918,8165,1.0,True,False,False,0.2
271,40,1,21816503992564034837991233164674817491,0.383723208818126,8165,1.0,True,False,False,0.2
272,40,2,313906599871070784299960499650708072210,0.3819595835884864,8165,1.0,True,False,False,0.2
273,41,0,184077787618885380766154034100067977330,0.3790417015175047,8369,1.0,True,False,False,0.2
274,41,1,104346172049765613360490898065156345534,0.3837376030589082,8369,1.0,True,False,False,0.2
275,41,2,269577314932236537130086834197316160749,0.3808340303501007,8369,1.0,True,False,False,0.2
276,42,0,134962640394312636566492705467922200693,0.3762393561180445,8573,1.0,True,False,False,0.2
277,42,1,288770489725316528566688716298453073740,0.371585209378279,8573,1.0,True,False,False,0.2
278,42,2,110866650200507909214568837791735166218,0.3718418289980175,8573,1.0,True,False,False,0.2
279,43,0,76266053874990069753508449731368473976,0.3728039193346259,8777,1.0,True,False,False,0.2
280,43,1,286959965319033402142713206715730591455,0.3722000683604878,8777,1.0,True,False,False,0.2
