,sample_id,iteration,seed,final_A,population_size,rewiring_probability,replicator_selection,interactor_selection,neutral_change
100,33,1,282237846837478868661025748797354068539,0.2006381715642621,6738,1.0,False,False,True
101,33,2,23910434017365353547802702972018824870,0.1918373404571092,6738,1.0,False,False,True
102,34,0,85415003774257764462798253523367281846,0.2044511668107161,6942,1.0,False,False,True
103,34,1,150285203002802035473226822408458997671,0.2019302794583686,6942,1.0,False,False,True
104,34,2,200006263857575340405395941255849995944,0.2069144338807249,6942,1.0,False,False,True
105,35,0,112927840428943588585312947929167106315,0.2018891687657421,7146,1.0,False,False,True
106,35,1,39931105585296463849284071583137518210,0.1983207388748939,7146,1.0,False,False,True
107,35,2,13455160914180007714962352879798555295,0.1930170724881045,7146,1.0,False,False,True
108,36,0,328458625841143053073624105302153870504,0.2033741496598624,7350,1.0,False,False,True
109,36,1,20067934218788669392191670553188491977,0.2082176870748284,7350,1.0,False,False,True
110,36,2,267674549712028856368524335666499373895,0.2011972789115642,7350,1.0,False,False,True
111,37,0,79320527053226853639045374555547243120,0.1910378607360325,7554,1.0,False,False,True
112,37,1,7431381356011700979499214222488448227,0.2009928514694187,7554,1.0,False,False,True
113,37,2,293969752013093056432699868406400881740,0.195988880063542,7554,1.0,False,False,True
114,38,0,296646002562847250028101691398331907184,0.1951920598092277,7758,1.0,False,False,True
115,38,1,111128180086044508746884032505272428271,0.2033642691415293,7758,1.0,False,False,True
116,38,2,68930035604623867065057971140592183696,0.1988785769528213,7758,1.0,False,False,True
117,39,0,183390136720769591789602145129002594323,0.1983421250941952,7962,1.0,False,False,True
118,39,1,256817145453714546670615752023597940447,0.193180105501128,7962,1.0,False,False,True
119,39,2,6222509019180827084461191948156814654,0.1985054006530998,7962,1.0,False,False,True
120,40,0,240003578761323500252835943134442021822,0.2028536436007322,8165,1.0,False,False,True
121,40,1,286453994434284242539487802392023136486,0.1945376607470892,8165,1.0,False,False,True
122,40,2,276722913307528873835837713523916346792,0.2008450704225322,8165,1.0,False,False,True
123,41,0,111289302648157136068500299385137577067,0.2007049826741525,8369,1.0,False,False,True
124,41,1,214257410068367485692838115230246499193,0.2026645955311238,8369,1.0,False,False,True
